Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,343008,6723.78,976,19.13,153,3831,75.1,8,0.16,1,Community transmission
Azerbaijan,Europe,336122,3315.08,446,4.4,75,4975,49.07,10,0.1,1,Clusters of cases
Dominican Republic,Americas,326193,3006.97,6057,55.84,972,3840,35.4,59,0.54,18,Community transmission
Guatemala,Americas,296438,1654.64,9730,54.31,2855,9282,51.81,388,2.17,67,Community transmission
Denmark,Europe,294152,5051.76,1800,30.91,475,2535,43.54,4,0.07,1,Community transmission
Egypt,Eastern Mediterranean,281282,274.87,2521,2.46,251,16169,15.8,202,0.2,21,Clusters of cases
Lithuania,Europe,278826,9979.13,218,7.8,17,4387,157.01,9,0.32,3,Community transmission
Ethiopia,Africa,276250,240.29,649,0.56,213,4325,3.76,29,0.03,5,Community transmission
Ireland,Europe,272784,5494.76,2719,54.77,448,5000,100.72,11,0.22,2,Community transmission
Venezuela (Bolivarian Republic of),Americas,272712,959.04,8161,28.7,1033,3119,10.97,112,0.39,18,Community transmission
Thailand,South-East Asia,270921,388.14,34630,49.61,6087,2141,3.07,322,0.46,61,Clusters of cases
Oman,Eastern Mediterranean,268545,5258.76,13889,271.98,2009,3100,60.71,284,5.56,44,Community transmission
Bahrain,Eastern Mediterranean,265827,15622.41,1720,101.08,184,1352,79.46,22,1.29,1,Community transmission
Honduras,Americas,262760,2652.91,7097,71.65,691,7005,70.72,161,1.63,25,Community transmission
Sri Lanka,South-East Asia,260972,1218.74,11046,51.58,0,3063,14.3,258,1.2,0,Clusters of cases
Slovenia,Europe,257358,12279.34,192,9.16,23,4750,226.64,1,0.05,0,Clusters of cases
Republic of Moldova,Europe,256816,6366.34,429,10.63,82,6194,153.55,14,0.35,0,Community transmission
Armenia,Europe,225339,7604.5,704,23.76,118,4518,152.47,13,0.44,1,Community transmission
Qatar,Eastern Mediterranean,222071,7707.98,798,27.7,118,590,20.48,4,0.14,2,Community transmission
Bosnia and Herzegovina,Europe,205032,6249.42,96,2.93,10,9667,294.65,14,0.43,2,Community transmission
Cuba,Americas,193945,1712.29,19156,169.12,2952,1302,11.5,93,0.82,18,Community transmission
Libya,Eastern Mediterranean,193474,2815.69,1998,29.08,236,3193,46.47,10,0.15,2,Community transmission
Kenya,Africa,184537,343.19,3298,6.13,376,3640,6.77,102,0.19,6,Community transmission
Nigeria,Africa,167618,81.31,217,0.11,0,2120,1.03,2,0,0,Community transmission
Myanmar,South-East Asia,161210,296.29,9637,17.71,1863,3364,6.18,82,0.15,17,Clusters of cases
Republic of Korea,Western Pacific,158549,309.25,4760,9.28,826,2024,3.95,15,0.03,3,Clusters of cases
Zambia,Africa,157832,858.53,17212,93.63,2884,2271,12.35,416,2.26,72,Community transmission
North Macedonia,Europe,155689,7472.9,34,1.63,5,5485,263.27,4,0.19,1,Sporadic cases
Algeria,Africa,140075,319.43,2672,6.09,449,3726,8.5,57,0.13,10,Community transmission
Puerto Rico,Americas,140058,4895.67,256,8.95,32,2549,89.1,5,0.17,0,Community transmission
Latvia,Europe,137500,7207.73,390,20.44,71,2520,132.1,20,1.05,7,Community transmission
Albania,Europe,132523,4605.01,24,0.83,2,2456,85.34,1,0.03,0,Clusters of cases
Norway,Europe,131508,2450.04,1473,27.44,193,794,14.79,2,0.04,0,Clusters of cases
Estonia,Europe,131123,9866.47,215,16.18,38,1269,95.49,0,0,0,Clusters of cases
Kyrgyzstan,Europe,127880,1960.09,8899,136.4,1485,2019,30.95,55,0.84,10,Clusters of cases
Afghanistan,Eastern Mediterranean,120216,308.81,10684,27.45,1557,4962,12.75,510,1.31,91,Community transmission
China,Western Pacific,118644,8.06,604,0.04,72,5508,0.37,57,0,13,Clusters of cases
Mongolia,Western Pacific,117963,3598.31,15334,467.74,2485,578,17.63,96,2.93,15,Clusters of cases
Uzbekistan,Europe,111648,333.58,3464,10.35,495,742,2.22,17,0.05,2,Clusters of cases
Kosovo[1],Europe,107725,5999.17,61,3.4,10,2248,125.19,2,0.11,0,Community transmission
Montenegro,Europe,100263,15963.87,104,16.56,0,1613,256.82,4,0.64,0,Clusters of cases
Finland,Europe,96180,1740.72,1461,26.44,216,973,17.61,1,0.02,0,Clusters of cases
Ghana,Africa,95914,308.67,655,2.11,0,796,2.56,2,0.01,0,Community transmission
Namibia,Africa,92869,3654.96,11599,456.49,2952,1586,62.42,281,11.06,65,Community transmission
Uganda,Africa,82083,179.45,6546,14.31,2106,1127,2.46,346,0.76,104,Community transmission
Cameroon,Africa,80858,304.6,371,1.4,0,1324,4.99,4,0.02,0,Community transmission
El Salvador,Americas,78766,1214.36,1282,19.77,0,2387,36.8,36,0.56,6,Community transmission
Mozambique,Africa,77205,247.01,3553,11.37,801,884,2.83,21,0.07,6,Community transmission
Cyprus,Europe,76333,8596.01,2159,243.13,473,374,42.12,0,0,0,Clusters of cases
Maldives,South-East Asia,73931,13677.15,987,182.59,0,213,39.4,5,0.92,0,Clusters of cases
Botswana,Africa,71443,3038.02,1372,58.34,1372,1158,49.24,63,2.68,33,Community transmission
Luxembourg,Europe,70895,11323.13,309,49.35,108,818,130.65,0,0,0,Community transmission
Singapore,Western Pacific,62589,1069.83,96,1.64,10,36,0.62,1,0.02,0,Sporadic cases
Cambodia,Western Pacific,51384,307.34,6018,36,999,628,3.76,135,0.81,26,Sporadic cases
Zimbabwe,Africa,51221,344.62,6915,46.53,1357,1808,12.16,99,0.67,19,Community transmission
Jamaica,Americas,50166,1694.13,325,10.98,42,1080,36.47,31,1.05,5,Community transmission
Côte d’Ivoire,Africa,48378,183.4,320,1.21,73,315,1.19,6,0.02,2,Community transmission
Senegal,Africa,43263,258.38,586,3.5,135,1168,6.98,9,0.05,2,Community transmission
Madagascar,Africa,42194,152.37,28,0.1,0,909,3.28,4,0.01,0,Community transmission
Democratic Republic of the Congo,Africa,41353,46.17,2415,2.7,517,933,1.04,37,0.04,9,Community transmission
Rwanda,Africa,39914,308.16,6654,51.37,2530,448,3.46,51,0.39,21,Community transmission
Angola,Africa,38965,118.56,874,2.66,116,903,2.75,22,0.07,3,Community transmission
Sudan,Eastern Mediterranean,36658,83.6,84,0.19,0,2754,6.28,4,0.01,0,Clusters of cases
Malawi,Africa,36359,190.06,1140,5.96,233,1199,6.27,21,0.11,3,Community transmission
Trinidad and Tobago,Americas,32793,2343.21,1586,113.33,265,847,60.52,79,5.64,14,Community transmission
Cabo Verde,Africa,32594,5862.37,337,60.61,70,287,51.62,2,0.36,1,Community transmission
Australia,Western Pacific,30643,120.17,235,0.92,33,910,3.57,0,0,0,Clusters of cases
Malta,Europe,30633,5953.2,35,6.8,6,420,81.62,0,0,0,Clusters of cases
Réunion,Africa,30583,3415.9,1081,120.74,0,237,26.47,11,1.23,0,Community transmission
French Guiana,Americas,27628,9249.97,588,196.86,92,146,48.88,4,1.34,1,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25515,145.79,267,1.53,36,1876,10.72,21,0.12,3,Community transmission
Gabon,Africa,25054,1125.65,96,4.31,70,159,7.14,0,0,0,Community transmission
Guinea,Africa,23787,181.13,172,1.31,17,172,1.31,4,0.03,1,Community transmission
Suriname,Americas,21732,3704.54,1183,201.66,213,522,88.98,40,6.82,6,Community transmission
Mauritania,Africa,20894,449.37,382,8.22,86,489,10.52,6,0.13,0,Community transmission
Guyana,Americas,20055,2549.74,696,88.49,96,469,59.63,15,1.91,1,Community transmission
Mayotte,Africa,19412,7115.44,7,2.57,0,174,63.78,0,0,0,Community transmission
Eswatini,Africa,19084,1644.94,137,11.81,0,678,58.44,0,0,0,Community transmission
French Polynesia,Western Pacific,19007,6766.27,15,5.34,0,142,50.55,0,0,0,Sporadic cases
Haiti,Americas,18658,163.63,695,6.1,0,436,3.82,36,0.32,0,Community transmission
Viet Nam,Western Pacific,17727,18.21,3404,3.5,675,81,0.08,9,0.01,0,Clusters of cases
Guadeloupe,Americas,17539,4383.39,112,27.99,0,267,66.73,1,0.25,0,Community transmission
Papua New Guinea,Western Pacific,17238,192.67,100,1.12,10,174,1.94,1,0.01,0,Community transmission
Seychelles,Africa,15579,15840.85,468,475.87,0,68,69.14,13,13.22,0,Community transmission
Somalia,Eastern Mediterranean,14946,94.04,78,0.49,13,775,4.88,0,0,0,Community transmission
Mali,Africa,14429,71.25,32,0.16,2,525,2.59,0,0,0,Community transmission
Togo,Africa,13962,168.65,199,2.4,45,130,1.57,2,0.02,1,Community transmission
Tajikistan,Europe,13929,146.04,131,1.37,0,91,0.95,0,0,0,Pending
Andorra,Europe,13918,18013.33,41,53.06,7,127,164.37,0,0,0,Community transmission
Burkina Faso,Africa,13485,64.51,11,0.05,4,168,0.8,0,0,0,Community transmission
Belize,Americas,13251,3332.51,168,42.25,24,329,82.74,0,0,0,Community transmission
Bahamas,Americas,12735,3238.45,268,68.15,36,246,62.56,1,0.25,0,Clusters of cases
Congo,Africa,12695,230.06,210,3.81,0,166,3.01,1,0.02,0,Community transmission
Curaçao,Americas,12342,7521.34,20,12.19,3,126,76.79,1,0.61,0,Community transmission
Martinique,Americas,12286,3273.95,87,23.18,0,98,26.11,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,11602,1174.29,5,0.51,0,155,15.69,0,0,0,Clusters of cases
Lesotho,Africa,11544,538.87,376,17.55,128,329,15.36,0,0,0,Community transmission
Aruba,Americas,11138,10432.16,20,18.73,3,107,100.22,0,0,0,Community transmission
South Sudan,Africa,10866,97.07,54,0.48,20,117,1.05,2,0.02,0,Community transmission
Timor-Leste,South-East Asia,9361,710,449,34.06,83,24,1.82,4,0.3,0,Community transmission
Equatorial Guinea,Africa,8742,623.1,30,2.14,8,122,8.7,2,0.14,1,Community transmission
Benin,Africa,8199,67.63,29,0.24,0,104,0.86,0,0,0,Community transmission
Guam,Western Pacific,8101,4799.88,41,24.29,5,140,82.95,1,0.59,0,Clusters of cases
Central African Republic,Africa,7141,147.85,2,0.04,0,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6920,23.2,22,0.07,2,1361,4.56,6,0.02,0,Community transmission
Iceland,Europe,6654,1827.35,17,4.67,5,30,8.24,0,0,0,Community transmission
Nicaragua,Americas,6604,99.69,202,3.05,0,191,2.88,1,0.02,0,Community transmission
Gambia,Africa,6079,251.54,14,0.58,0,181,7.49,0,0,0,Community transmission
Eritrea,Africa,6028,169.97,364,10.26,19,25,0.7,4,0.11,2,Community transmission
Sierra Leone,Africa,5652,70.85,497,6.23,77,102,1.28,15,0.19,2,Community transmission
Burundi,Africa,5494,46.2,146,1.23,12,8,0.07,0,0,0,Community transmission
Niger,Africa,5492,22.69,17,0.07,3,193,0.8,0,0,0,Community transmission
Saint Lucia,Americas,5296,2884.11,58,31.59,4,84,45.74,0,0,0,Community transmission
San Marino,Europe,5092,15003.83,1,2.95,0,90,265.19,0,0,0,Community transmission
Chad,Africa,4951,30.14,0,0,0,174,1.06,0,0,0,Community transmission
Fiji,Western Pacific,4849,540.91,2001,223.22,431,24,2.68,11,1.23,3,Sporadic cases
Gibraltar,Europe,4348,12905.52,16,47.49,0,94,279.01,0,0,0,Clusters of cases
Liberia,Africa,4304,85.1,1039,20.54,211,129,2.55,19,0.38,1,Community transmission
Barbados,Americas,4082,1420.44,30,10.44,1,47,16.35,0,0,0,Community transmission
Comoros,Africa,4013,461.48,27,3.1,0,146,16.79,0,0,0,Community transmission
United States Virgin Islands,Americas,3879,3714.63,60,57.46,21,30,28.73,0,0,0,Community transmission
Guinea-Bissau,Africa,3869,196.6,25,1.27,10,69,3.51,0,0,0,Community transmission
Jersey,Europe,3545,3288.62,206,191.1,60,69,64.01,0,0,0,Community transmission
Liechtenstein,Europe,3132,8083.21,7,18.07,0,58,149.69,0,0,0,Sporadic cases
Sint Maarten,Americas,2618,6105.13,33,76.96,4,33,76.96,1,2.33,0,Community transmission
Monaco,Europe,2580,6574.25,18,45.87,3,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2514,4037.06,10,16.06,0,33,52.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2425,6263.24,1,2.58,0,18,46.49,0,0,0,Clusters of cases
New Zealand,Western Pacific,2386,49.48,17,0.35,3,26,0.54,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2369,1080.95,5,2.28,3,37,16.88,0,0,0,Community transmission
Saint Martin,Americas,2367,6122.77,53,137.1,0,27,69.84,1,2.59,0,Community transmission
Saint Vincent and the Grenadines,Americas,2227,2007.39,20,18.03,2,12,10.82,0,0,0,Community transmission
Lao People's Democratic Republic,Western Pacific,2144,29.47,64,0.88,23,3,0.04,0,0,0,Sporadic cases
Bhutan,South-East Asia,2122,275.01,109,14.13,18,1,0.13,0,0,0,Clusters of cases
Mauritius,Africa,1913,150.42,61,4.8,15,18,1.42,0,0,0,Clusters of cases
Bonaire,Americas,1623,7759.98,14,66.94,1,17,81.28,0,0,0,Community transmission
Isle of Man,Europe,1614,1898.11,11,12.94,2,29,34.1,0,0,0,No cases
Antigua and Barbuda,Americas,1264,1290.73,1,1.02,1,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1043,10551.34,3,30.35,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,838,1299.87,10,15.51,1,17,26.37,0,0,0,Community transmission
Faroe Islands,Europe,778,1592.14,8,16.37,2,1,2.05,0,0,0,Sporadic cases
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,614,934.27,5,7.61,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,446,838.47,50,94,3,3,5.64,0,0,0,Community transmission
British Virgin Islands,Americas,350,1157.52,55,181.9,37,1,3.31,0,0,0,Clusters of cases
Brunei Darussalam,Western Pacific,261,59.66,5,1.14,1,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,194,269.48,2,2.78,1,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,183,317.95,0,0,0,2,3.47,0,0,0,Pending
Grenada,Americas,162,143.97,1,0.89,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,109,726.57,0,0,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,50,88.07,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
